days,hours
0.0,23.046535409720125
1.0,23.643115511520808
2.0,23.145582976563805
3.0,23.92909099540331
4.0,23.360460577120687
5.0,23.422850993982948
6.0,22.59262244373476
7.0,23.672235553827868
8.0,23.14276413016045
9.0,24.0
10.0,24.0
11.0,23.916257579951406
12.0,23.68978658212583
13.0,24.0
14.0,24.0
15.0,24.0
16.0,24.0
17.0,22.572164090986004
18.0,23.99499422244052
19.0,24.0
20.0,23.774212603521804
21.0,22.98892739295172
22.0,23.35164225622437
23.0,23.865004916637297
24.0,23.89129883437006
25.0,24.0
26.0,23.264620066048142
27.0,22.5160511559263
28.0,23.210994780849852
29.0,24.0
30.0,24.0
31.0,23.936656806719395
32.0,22.47903329935098
33.0,24.0
34.0,23.429222754409558
35.0,24.0
36.0,23.42670858592366
37.0,21.39554053405759
38.0,22.51376582821991
39.0,22.604065118380362
40.0,23.546288517671293
41.0,23.434886409028774
42.0,22.09266165564241
43.0,23.343198199298925
44.0,23.07008131946348
45.0,22.551994742685206
46.0,23.214992882022628
47.0,23.834890503814904
48.0,23.952205171096356
49.0,24.0
50.0,22.39076350840333
51.0,24.0
52.0,23.681631043698765
53.0,24.0
54.0,24.0
55.0,24.0
56.0,22.866806264830647
57.0,24.0
58.0,22.61066373889265
59.0,24.0
60.0,23.616326545987835
61.0,23.564528004303337
62.0,22.85734112734421
63.0,22.020882940503817
64.0,23.433611302148986
65.0,24.0
66.0,24.0
67.0,23.429976116316745
68.0,24.0
69.0,22.855256176290812
70.0,23.64335097348401
71.0,24.0
72.0,24.0
73.0,24.0
74.0,24.0
75.0,23.237975538921713
76.0,24.0
77.0,22.032356942458954
78.0,24.0
79.0,24.0
80.0,24.0
81.0,24.0
82.0,24.0
83.0,24.0
84.0,23.36242975026389
85.0,24.0
86.0,24.0
87.0,23.56859994761973
88.0,24.0
89.0,22.60521107258237
90.0,23.919928216980587
91.0,24.0
92.0,21.782168557134106
93.0,22.582494323828463
94.0,23.9570927953218
95.0,24.0
96.0,22.28169642176138
97.0,24.0
98.0,23.54049633869343
99.0,23.156511380113063
100.0,24.0
101.0,22.79338617279679
102.0,24.0
103.0,22.30589515829792
104.0,24.0
105.0,24.0
106.0,22.577969985311654
107.0,23.591213414348832
108.0,23.82225609733054
109.0,24.0
110.0,24.0
111.0,24.0
112.0,23.56843403257033
113.0,24.0
114.0,22.656818784114847
115.0,23.03106033203851
116.0,24.0
117.0,24.0
118.0,22.0060849232519
119.0,22.168077277628882
120.0,22.5009980038962
121.0,22.349111082510234
122.0,23.970251367683783
123.0,22.673020969387288
124.0,23.622955476987414
125.0,24.0
126.0,23.748731597601292
127.0,22.611433322879346
128.0,21.953276875568278
129.0,24.0
130.0,23.80147601565116
131.0,24.0
132.0,23.563864187681038
133.0,23.504873994819366
134.0,24.0
135.0,24.0
136.0,24.0
137.0,23.39058418030795
138.0,23.74946080839017
139.0,23.056720369337118
140.0,24.0
141.0,22.403896628093246
142.0,24.0
143.0,24.0
144.0,24.0
145.0,24.0
146.0,23.397753520019688
147.0,23.75500782361977
148.0,23.190216123441303
149.0,23.70805811165635
150.0,24.0
151.0,23.925725096732368
152.0,24.0
153.0,23.33694332944574
154.0,24.0
155.0,24.0
156.0,24.0
157.0,24.0
158.0,22.442902930809826
159.0,22.19391122557548
160.0,23.83813964122116
161.0,23.466405184460008
162.0,23.584562109102805
163.0,23.17075608105707
164.0,23.743798918391928
165.0,23.295380576030414
166.0,23.605549030322468
167.0,23.468817511138383
168.0,23.8035752490208
169.0,24.0
170.0,24.0
171.0,23.058417046495137
172.0,22.303771902103517
173.0,24.0
174.0,24.0
175.0,24.0
176.0,23.273740245928963
177.0,23.71079382738677
178.0,23.671186272473577
179.0,24.0
180.0,24.0
181.0,23.525192566462824
182.0,22.404953531860013
183.0,24.0
184.0,24.0
185.0,23.669549049875677
186.0,23.811158092023145
187.0,24.0
188.0,24.0
189.0,24.0
190.0,22.697441051433533
191.0,23.884515342297963
192.0,23.4738048758474
193.0,22.592541966453027
194.0,24.0
195.0,23.069622710235738
196.0,24.0
197.0,24.0
198.0,21.125722796684048
199.0,24.0
200.0,24.0
201.0,22.742642433242224
202.0,24.0
203.0,23.508227263291793
204.0,24.0
205.0,23.71735683812082
206.0,23.42088764483284
207.0,23.911623716698134
208.0,24.0
209.0,23.69781956288959
210.0,24.0
211.0,23.91127197038392
212.0,24.0
213.0,24.0
214.0,23.57015833016398
215.0,24.0
216.0,24.0
217.0,22.88454046830499
218.0,23.67210689197809
219.0,24.0
220.0,24.0
221.0,22.82169852056311
222.0,24.0
223.0,23.793804889418475
224.0,24.0
225.0,21.98103691191347
226.0,24.0
227.0,24.0
228.0,22.55035521582758
229.0,24.0
230.0,23.417374083847815
231.0,24.0
232.0,24.0
233.0,22.332198211976053
234.0,23.403396207484903
235.0,23.826105536713072
236.0,23.699779888149088
237.0,24.0
238.0,23.383448208526683
239.0,22.969244802470637
240.0,22.70839826664611
241.0,22.833998490046767
242.0,22.855410788219764
243.0,24.0
244.0,23.800115011447776
245.0,21.98679033926476
246.0,22.404279750560395
247.0,24.0
248.0,22.8027747769784
249.0,24.0
250.0,22.8819917580266
251.0,23.673752170223715
252.0,22.43907645099872
253.0,22.251448800876442
254.0,22.5127601462237
255.0,23.788625134326107
256.0,23.796496461160764
257.0,23.547485023293927
258.0,23.833743182961282
259.0,24.0
260.0,24.0
261.0,23.499310074200803
262.0,24.0
263.0,23.024853999213853
264.0,24.0
265.0,23.218889059281498
266.0,24.0
267.0,24.0
268.0,24.0
269.0,22.86528695331068
270.0,24.0
271.0,24.0
272.0,23.432592322135672
273.0,24.0
274.0,24.0
275.0,23.74095112811781
276.0,23.918602374496547
277.0,24.0
278.0,22.66487442435684
279.0,24.0
280.0,24.0
281.0,24.0
282.0,22.11341577169969
283.0,22.74763829205391
284.0,23.939044119055815
285.0,24.0
286.0,22.443260900777435
287.0,24.0
288.0,22.78423787726593
289.0,23.59159266651291
290.0,22.85017901651102
291.0,23.919159864944223
292.0,24.0
293.0,21.31327133520438
294.0,23.917354321115724
295.0,24.0
296.0,22.628505036327137
297.0,22.916165250557984
298.0,22.093793409672525
299.0,24.0
300.0,24.0
301.0,24.0
302.0,24.0
303.0,23.970838850248487
304.0,24.0
305.0,24.0
306.0,24.0
307.0,23.658192487159514
308.0,24.0
309.0,24.0
310.0,24.0
311.0,23.16865855256802
312.0,24.0
313.0,23.16379187124742
314.0,24.0
315.0,24.0
316.0,22.656205905971817
317.0,24.0
318.0,23.055940416284567
319.0,22.291589688456686
320.0,22.5713550452843
321.0,21.27941501005906
322.0,22.764764970538003
323.0,24.0
324.0,24.0
325.0,24.0
326.0,23.040666267327584
327.0,22.50543013181895
328.0,23.664781563071713
329.0,24.0
